id,department,role_family,capability_level,max_risk
"research-and-innovation-strategy-planning-team-lead","Research & Innovation","strategy-planning","L3","R2"
"research-and-innovation-strategy-planning-department-lead","Research & Innovation","strategy-planning","L4","R3"
"research-and-innovation-strategy-planning-executive-coordinator","Research & Innovation","strategy-planning","L5","R3"
"research-and-innovation-analysis-research-utility-worker","Research & Innovation","analysis-research","L0","R1"
"research-and-innovation-analysis-research-specialist","Research & Innovation","analysis-research","L1","R1"
"research-and-innovation-analysis-research-senior-specialist","Research & Innovation","analysis-research","L2","R2"
"research-and-innovation-analysis-research-team-lead","Research & Innovation","analysis-research","L3","R2"
"research-and-innovation-analysis-research-department-lead","Research & Innovation","analysis-research","L4","R3"
"research-and-innovation-analysis-research-executive-coordinator","Research & Innovation","analysis-research","L5","R3"
"research-and-innovation-implementation-delivery-utility-worker","Research & Innovation","implementation-delivery","L0","R1"
"research-and-innovation-implementation-delivery-specialist","Research & Innovation","implementation-delivery","L1","R1"
"research-and-innovation-implementation-delivery-senior-specialist","Research & Innovation","implementation-delivery","L2","R2"
"research-and-innovation-implementation-delivery-team-lead","Research & Innovation","implementation-delivery","L3","R2"
"research-and-innovation-implementation-delivery-department-lead","Research & Innovation","implementation-delivery","L4","R3"
"research-and-innovation-implementation-delivery-executive-coordinator","Research & Innovation","implementation-delivery","L5","R3"
"research-and-innovation-operations-reliability-utility-worker","Research & Innovation","operations-reliability","L0","R1"
"research-and-innovation-operations-reliability-specialist","Research & Innovation","operations-reliability","L1","R1"
"research-and-innovation-operations-reliability-senior-specialist","Research & Innovation","operations-reliability","L2","R2"
"research-and-innovation-operations-reliability-team-lead","Research & Innovation","operations-reliability","L3","R2"
"research-and-innovation-operations-reliability-department-lead","Research & Innovation","operations-reliability","L4","R3"
"research-and-innovation-operations-reliability-executive-coordinator","Research & Innovation","operations-reliability","L5","R3"
"research-and-innovation-verification-governance-utility-worker","Research & Innovation","verification-governance","L0","R1"
"research-and-innovation-verification-governance-specialist","Research & Innovation","verification-governance","L1","R1"
"research-and-innovation-verification-governance-senior-specialist","Research & Innovation","verification-governance","L2","R2"
"research-and-innovation-verification-governance-team-lead","Research & Innovation","verification-governance","L3","R2"
"research-and-innovation-verification-governance-department-lead","Research & Innovation","verification-governance","L4","R3"
"research-and-innovation-verification-governance-executive-coordinator","Research & Innovation","verification-governance","L5","R3"
"research-and-innovation-knowledge-coordination-utility-worker","Research & Innovation","knowledge-coordination","L0","R1"
"research-and-innovation-knowledge-coordination-specialist","Research & Innovation","knowledge-coordination","L1","R1"
"research-and-innovation-knowledge-coordination-senior-specialist","Research & Innovation","knowledge-coordination","L2","R2"
"research-and-innovation-knowledge-coordination-team-lead","Research & Innovation","knowledge-coordination","L3","R2"
"research-and-innovation-knowledge-coordination-department-lead","Research & Innovation","knowledge-coordination","L4","R3"
"research-and-innovation-knowledge-coordination-executive-coordinator","Research & Innovation","knowledge-coordination","L5","R3"
"engineering-strategy-planning-utility-worker","Engineering","strategy-planning","L0","R1"
"engineering-strategy-planning-specialist","Engineering","strategy-planning","L1","R1"
"engineering-strategy-planning-senior-specialist","Engineering","strategy-planning","L2","R2"
"engineering-strategy-planning-team-lead","Engineering","strategy-planning","L3","R2"
"engineering-strategy-planning-department-lead","Engineering","strategy-planning","L4","R3"
"engineering-strategy-planning-executive-coordinator","Engineering","strategy-planning","L5","R3"
"engineering-analysis-research-utility-worker","Engineering","analysis-research","L0","R1"
"engineering-analysis-research-specialist","Engineering","analysis-research","L1","R1"
"engineering-analysis-research-senior-specialist","Engineering","analysis-research","L2","R2"
"engineering-analysis-research-team-lead","Engineering","analysis-research","L3","R2"
"engineering-analysis-research-department-lead","Engineering","analysis-research","L4","R3"
"engineering-analysis-research-executive-coordinator","Engineering","analysis-research","L5","R3"
"engineering-implementation-delivery-utility-worker","Engineering","implementation-delivery","L0","R1"
"engineering-implementation-delivery-specialist","Engineering","implementation-delivery","L1","R1"
"engineering-implementation-delivery-senior-specialist","Engineering","implementation-delivery","L2","R2"
"engineering-implementation-delivery-team-lead","Engineering","implementation-delivery","L3","R2"
"engineering-implementation-delivery-department-lead","Engineering","implementation-delivery","L4","R3"
"engineering-implementation-delivery-executive-coordinator","Engineering","implementation-delivery","L5","R3"
"engineering-operations-reliability-utility-worker","Engineering","operations-reliability","L0","R1"
"engineering-operations-reliability-specialist","Engineering","operations-reliability","L1","R1"
"engineering-operations-reliability-senior-specialist","Engineering","operations-reliability","L2","R2"
"engineering-operations-reliability-team-lead","Engineering","operations-reliability","L3","R2"
"engineering-operations-reliability-department-lead","Engineering","operations-reliability","L4","R3"
"engineering-operations-reliability-executive-coordinator","Engineering","operations-reliability","L5","R3"
"engineering-verification-governance-utility-worker","Engineering","verification-governance","L0","R1"
"engineering-verification-governance-specialist","Engineering","verification-governance","L1","R1"
"engineering-verification-governance-senior-specialist","Engineering","verification-governance","L2","R2"
"engineering-verification-governance-team-lead","Engineering","verification-governance","L3","R2"
"engineering-verification-governance-department-lead","Engineering","verification-governance","L4","R3"
"engineering-verification-governance-executive-coordinator","Engineering","verification-governance","L5","R3"
"engineering-knowledge-coordination-utility-worker","Engineering","knowledge-coordination","L0","R1"
"engineering-knowledge-coordination-specialist","Engineering","knowledge-coordination","L1","R1"
"engineering-knowledge-coordination-senior-specialist","Engineering","knowledge-coordination","L2","R2"
"engineering-knowledge-coordination-team-lead","Engineering","knowledge-coordination","L3","R2"
"engineering-knowledge-coordination-department-lead","Engineering","knowledge-coordination","L4","R3"
"engineering-knowledge-coordination-executive-coordinator","Engineering","knowledge-coordination","L5","R3"
"ai-and-agent-systems-strategy-planning-utility-worker","AI & Agent Systems","strategy-planning","L0","R1"
"ai-and-agent-systems-strategy-planning-specialist","AI & Agent Systems","strategy-planning","L1","R1"
"ai-and-agent-systems-strategy-planning-senior-specialist","AI & Agent Systems","strategy-planning","L2","R2"
"ai-and-agent-systems-strategy-planning-team-lead","AI & Agent Systems","strategy-planning","L3","R2"
"ai-and-agent-systems-strategy-planning-department-lead","AI & Agent Systems","strategy-planning","L4","R3"
"ai-and-agent-systems-strategy-planning-executive-coordinator","AI & Agent Systems","strategy-planning","L5","R3"
"ai-and-agent-systems-analysis-research-utility-worker","AI & Agent Systems","analysis-research","L0","R1"
"ai-and-agent-systems-analysis-research-specialist","AI & Agent Systems","analysis-research","L1","R1"
"ai-and-agent-systems-analysis-research-senior-specialist","AI & Agent Systems","analysis-research","L2","R2"
"ai-and-agent-systems-analysis-research-team-lead","AI & Agent Systems","analysis-research","L3","R2"
"ai-and-agent-systems-analysis-research-department-lead","AI & Agent Systems","analysis-research","L4","R3"
"ai-and-agent-systems-analysis-research-executive-coordinator","AI & Agent Systems","analysis-research","L5","R3"
"ai-and-agent-systems-implementation-delivery-utility-worker","AI & Agent Systems","implementation-delivery","L0","R1"
"ai-and-agent-systems-implementation-delivery-specialist","AI & Agent Systems","implementation-delivery","L1","R1"
"ai-and-agent-systems-implementation-delivery-senior-specialist","AI & Agent Systems","implementation-delivery","L2","R2"
"ai-and-agent-systems-implementation-delivery-team-lead","AI & Agent Systems","implementation-delivery","L3","R2"
"ai-and-agent-systems-implementation-delivery-department-lead","AI & Agent Systems","implementation-delivery","L4","R3"
"ai-and-agent-systems-implementation-delivery-executive-coordinator","AI & Agent Systems","implementation-delivery","L5","R3"
"ai-and-agent-systems-operations-reliability-utility-worker","AI & Agent Systems","operations-reliability","L0","R1"
"ai-and-agent-systems-operations-reliability-specialist","AI & Agent Systems","operations-reliability","L1","R1"
"ai-and-agent-systems-operations-reliability-senior-specialist","AI & Agent Systems","operations-reliability","L2","R2"
"ai-and-agent-systems-operations-reliability-team-lead","AI & Agent Systems","operations-reliability","L3","R2"
"ai-and-agent-systems-operations-reliability-department-lead","AI & Agent Systems","operations-reliability","L4","R3"
"ai-and-agent-systems-operations-reliability-executive-coordinator","AI & Agent Systems","operations-reliability","L5","R3"
"ai-and-agent-systems-verification-governance-utility-worker","AI & Agent Systems","verification-governance","L0","R1"
"ai-and-agent-systems-verification-governance-specialist","AI & Agent Systems","verification-governance","L1","R1"
"ai-and-agent-systems-verification-governance-senior-specialist","AI & Agent Systems","verification-governance","L2","R2"
"ai-and-agent-systems-verification-governance-team-lead","AI & Agent Systems","verification-governance","L3","R2"
"ai-and-agent-systems-verification-governance-department-lead","AI & Agent Systems","verification-governance","L4","R3"
"ai-and-agent-systems-verification-governance-executive-coordinator","AI & Agent Systems","verification-governance","L5","R3"
"ai-and-agent-systems-knowledge-coordination-utility-worker","AI & Agent Systems","knowledge-coordination","L0","R1"
"ai-and-agent-systems-knowledge-coordination-specialist","AI & Agent Systems","knowledge-coordination","L1","R1"
"ai-and-agent-systems-knowledge-coordination-senior-specialist","AI & Agent Systems","knowledge-coordination","L2","R2"
"ai-and-agent-systems-knowledge-coordination-team-lead","AI & Agent Systems","knowledge-coordination","L3","R2"
"ai-and-agent-systems-knowledge-coordination-department-lead","AI & Agent Systems","knowledge-coordination","L4","R3"
"ai-and-agent-systems-knowledge-coordination-executive-coordinator","AI & Agent Systems","knowledge-coordination","L5","R3"
"data-and-analytics-strategy-planning-utility-worker","Data & Analytics","strategy-planning","L0","R1"
"data-and-analytics-strategy-planning-specialist","Data & Analytics","strategy-planning","L1","R1"
"data-and-analytics-strategy-planning-senior-specialist","Data & Analytics","strategy-planning","L2","R2"
"data-and-analytics-strategy-planning-team-lead","Data & Analytics","strategy-planning","L3","R2"
"data-and-analytics-strategy-planning-department-lead","Data & Analytics","strategy-planning","L4","R3"
"data-and-analytics-strategy-planning-executive-coordinator","Data & Analytics","strategy-planning","L5","R3"
"data-and-analytics-analysis-research-utility-worker","Data & Analytics","analysis-research","L0","R1"
"data-and-analytics-analysis-research-specialist","Data & Analytics","analysis-research","L1","R1"
"data-and-analytics-analysis-research-senior-specialist","Data & Analytics","analysis-research","L2","R2"
"data-and-analytics-analysis-research-team-lead","Data & Analytics","analysis-research","L3","R2"
"data-and-analytics-analysis-research-department-lead","Data & Analytics","analysis-research","L4","R3"
"data-and-analytics-analysis-research-executive-coordinator","Data & Analytics","analysis-research","L5","R3"
"data-and-analytics-implementation-delivery-utility-worker","Data & Analytics","implementation-delivery","L0","R1"
"data-and-analytics-implementation-delivery-specialist","Data & Analytics","implementation-delivery","L1","R1"
"data-and-analytics-implementation-delivery-senior-specialist","Data & Analytics","implementation-delivery","L2","R2"
"data-and-analytics-implementation-delivery-team-lead","Data & Analytics","implementation-delivery","L3","R2"
"data-and-analytics-implementation-delivery-department-lead","Data & Analytics","implementation-delivery","L4","R3"
"data-and-analytics-implementation-delivery-executive-coordinator","Data & Analytics","implementation-delivery","L5","R3"
"data-and-analytics-operations-reliability-utility-worker","Data & Analytics","operations-reliability","L0","R1"
"data-and-analytics-operations-reliability-specialist","Data & Analytics","operations-reliability","L1","R1"
"data-and-analytics-operations-reliability-senior-specialist","Data & Analytics","operations-reliability","L2","R2"
"data-and-analytics-operations-reliability-team-lead","Data & Analytics","operations-reliability","L3","R2"
"data-and-analytics-operations-reliability-department-lead","Data & Analytics","operations-reliability","L4","R3"
"data-and-analytics-operations-reliability-executive-coordinator","Data & Analytics","operations-reliability","L5","R3"
"data-and-analytics-verification-governance-utility-worker","Data & Analytics","verification-governance","L0","R1"
"data-and-analytics-verification-governance-specialist","Data & Analytics","verification-governance","L1","R1"
"data-and-analytics-verification-governance-senior-specialist","Data & Analytics","verification-governance","L2","R2"
"data-and-analytics-verification-governance-team-lead","Data & Analytics","verification-governance","L3","R2"
"data-and-analytics-verification-governance-department-lead","Data & Analytics","verification-governance","L4","R3"
"data-and-analytics-verification-governance-executive-coordinator","Data & Analytics","verification-governance","L5","R3"
"data-and-analytics-knowledge-coordination-utility-worker","Data & Analytics","knowledge-coordination","L0","R1"
"data-and-analytics-knowledge-coordination-specialist","Data & Analytics","knowledge-coordination","L1","R1"
"data-and-analytics-knowledge-coordination-senior-specialist","Data & Analytics","knowledge-coordination","L2","R2"
"data-and-analytics-knowledge-coordination-team-lead","Data & Analytics","knowledge-coordination","L3","R2"
"data-and-analytics-knowledge-coordination-department-lead","Data & Analytics","knowledge-coordination","L4","R3"
"data-and-analytics-knowledge-coordination-executive-coordinator","Data & Analytics","knowledge-coordination","L5","R3"
"design-and-user-experience-strategy-planning-utility-worker","Design & User Experience","strategy-planning","L0","R1"
"design-and-user-experience-strategy-planning-specialist","Design & User Experience","strategy-planning","L1","R1"
"design-and-user-experience-strategy-planning-senior-specialist","Design & User Experience","strategy-planning","L2","R2"
"design-and-user-experience-strategy-planning-team-lead","Design & User Experience","strategy-planning","L3","R2"
"design-and-user-experience-strategy-planning-department-lead","Design & User Experience","strategy-planning","L4","R3"
"design-and-user-experience-strategy-planning-executive-coordinator","Design & User Experience","strategy-planning","L5","R3"
"design-and-user-experience-analysis-research-utility-worker","Design & User Experience","analysis-research","L0","R1"
"design-and-user-experience-analysis-research-specialist","Design & User Experience","analysis-research","L1","R1"
"design-and-user-experience-analysis-research-senior-specialist","Design & User Experience","analysis-research","L2","R2"
"design-and-user-experience-analysis-research-team-lead","Design & User Experience","analysis-research","L3","R2"
"design-and-user-experience-analysis-research-department-lead","Design & User Experience","analysis-research","L4","R3"
"design-and-user-experience-analysis-research-executive-coordinator","Design & User Experience","analysis-research","L5","R3"
"design-and-user-experience-implementation-delivery-utility-worker","Design & User Experience","implementation-delivery","L0","R1"
"design-and-user-experience-implementation-delivery-specialist","Design & User Experience","implementation-delivery","L1","R1"
"design-and-user-experience-implementation-delivery-senior-specialist","Design & User Experience","implementation-delivery","L2","R2"
"design-and-user-experience-implementation-delivery-team-lead","Design & User Experience","implementation-delivery","L3","R2"
"design-and-user-experience-implementation-delivery-department-lead","Design & User Experience","implementation-delivery","L4","R3"
"design-and-user-experience-implementation-delivery-executive-coordinator","Design & User Experience","implementation-delivery","L5","R3"
"design-and-user-experience-operations-reliability-utility-worker","Design & User Experience","operations-reliability","L0","R1"
"design-and-user-experience-operations-reliability-specialist","Design & User Experience","operations-reliability","L1","R1"
"design-and-user-experience-operations-reliability-senior-specialist","Design & User Experience","operations-reliability","L2","R2"
"design-and-user-experience-operations-reliability-team-lead","Design & User Experience","operations-reliability","L3","R2"
"design-and-user-experience-operations-reliability-department-lead","Design & User Experience","operations-reliability","L4","R3"
"design-and-user-experience-operations-reliability-executive-coordinator","Design & User Experience","operations-reliability","L5","R3"
"design-and-user-experience-verification-governance-utility-worker","Design & User Experience","verification-governance","L0","R1"
"design-and-user-experience-verification-governance-specialist","Design & User Experience","verification-governance","L1","R1"
"design-and-user-experience-verification-governance-senior-specialist","Design & User Experience","verification-governance","L2","R2"
"design-and-user-experience-verification-governance-team-lead","Design & User Experience","verification-governance","L3","R2"
"design-and-user-experience-verification-governance-department-lead","Design & User Experience","verification-governance","L4","R3"
"design-and-user-experience-verification-governance-executive-coordinator","Design & User Experience","verification-governance","L5","R3"
"design-and-user-experience-knowledge-coordination-utility-worker","Design & User Experience","knowledge-coordination","L0","R1"
"design-and-user-experience-knowledge-coordination-specialist","Design & User Experience","knowledge-coordination","L1","R1"
"design-and-user-experience-knowledge-coordination-senior-specialist","Design & User Experience","knowledge-coordination","L2","R2"
"design-and-user-experience-knowledge-coordination-team-lead","Design & User Experience","knowledge-coordination","L3","R2"
"design-and-user-experience-knowledge-coordination-department-lead","Design & User Experience","knowledge-coordination","L4","R3"
"design-and-user-experience-knowledge-coordination-executive-coordinator","Design & User Experience","knowledge-coordination","L5","R3"
"platform-and-infrastructure-strategy-planning-utility-worker","Platform & Infrastructure","strategy-planning","L0","R1"
"platform-and-infrastructure-strategy-planning-specialist","Platform & Infrastructure","strategy-planning","L1","R1"
"platform-and-infrastructure-strategy-planning-senior-specialist","Platform & Infrastructure","strategy-planning","L2","R2"
"platform-and-infrastructure-strategy-planning-team-lead","Platform & Infrastructure","strategy-planning","L3","R2"
"platform-and-infrastructure-strategy-planning-department-lead","Platform & Infrastructure","strategy-planning","L4","R3"
"platform-and-infrastructure-strategy-planning-executive-coordinator","Platform & Infrastructure","strategy-planning","L5","R3"
"platform-and-infrastructure-analysis-research-utility-worker","Platform & Infrastructure","analysis-research","L0","R1"
"platform-and-infrastructure-analysis-research-specialist","Platform & Infrastructure","analysis-research","L1","R1"
"platform-and-infrastructure-analysis-research-senior-specialist","Platform & Infrastructure","analysis-research","L2","R2"
"platform-and-infrastructure-analysis-research-team-lead","Platform & Infrastructure","analysis-research","L3","R2"
"platform-and-infrastructure-analysis-research-department-lead","Platform & Infrastructure","analysis-research","L4","R3"
"platform-and-infrastructure-analysis-research-executive-coordinator","Platform & Infrastructure","analysis-research","L5","R3"
"platform-and-infrastructure-implementation-delivery-utility-worker","Platform & Infrastructure","implementation-delivery","L0","R1"
"platform-and-infrastructure-implementation-delivery-specialist","Platform & Infrastructure","implementation-delivery","L1","R1"
"platform-and-infrastructure-implementation-delivery-senior-specialist","Platform & Infrastructure","implementation-delivery","L2","R2"
"platform-and-infrastructure-implementation-delivery-team-lead","Platform & Infrastructure","implementation-delivery","L3","R2"
"platform-and-infrastructure-implementation-delivery-department-lead","Platform & Infrastructure","implementation-delivery","L4","R3"
"platform-and-infrastructure-implementation-delivery-executive-coordinator","Platform & Infrastructure","implementation-delivery","L5","R3"
"platform-and-infrastructure-operations-reliability-utility-worker","Platform & Infrastructure","operations-reliability","L0","R1"
"platform-and-infrastructure-operations-reliability-specialist","Platform & Infrastructure","operations-reliability","L1","R1"
"platform-and-infrastructure-operations-reliability-senior-specialist","Platform & Infrastructure","operations-reliability","L2","R2"
"platform-and-infrastructure-operations-reliability-team-lead","Platform & Infrastructure","operations-reliability","L3","R2"
"platform-and-infrastructure-operations-reliability-department-lead","Platform & Infrastructure","operations-reliability","L4","R3"
"platform-and-infrastructure-operations-reliability-executive-coordinator","Platform & Infrastructure","operations-reliability","L5","R3"
"platform-and-infrastructure-verification-governance-utility-worker","Platform & Infrastructure","verification-governance","L0","R1"
"platform-and-infrastructure-verification-governance-specialist","Platform & Infrastructure","verification-governance","L1","R1"
"platform-and-infrastructure-verification-governance-senior-specialist","Platform & Infrastructure","verification-governance","L2","R2"
"platform-and-infrastructure-verification-governance-team-lead","Platform & Infrastructure","verification-governance","L3","R2"
"platform-and-infrastructure-verification-governance-department-lead","Platform & Infrastructure","verification-governance","L4","R3"
"platform-and-infrastructure-verification-governance-executive-coordinator","Platform & Infrastructure","verification-governance","L5","R3"
"platform-and-infrastructure-knowledge-coordination-utility-worker","Platform & Infrastructure","knowledge-coordination","L0","R1"
"platform-and-infrastructure-knowledge-coordination-specialist","Platform & Infrastructure","knowledge-coordination","L1","R1"
"platform-and-infrastructure-knowledge-coordination-senior-specialist","Platform & Infrastructure","knowledge-coordination","L2","R2"
"platform-and-infrastructure-knowledge-coordination-team-lead","Platform & Infrastructure","knowledge-coordination","L3","R2"
"platform-and-infrastructure-knowledge-coordination-department-lead","Platform & Infrastructure","knowledge-coordination","L4","R3"
"platform-and-infrastructure-knowledge-coordination-executive-coordinator","Platform & Infrastructure","knowledge-coordination","L5","R3"
"security-strategy-planning-utility-worker","Security","strategy-planning","L0","R1"
"security-strategy-planning-specialist","Security","strategy-planning","L1","R1"
"security-strategy-planning-senior-specialist","Security","strategy-planning","L2","R2"
"security-strategy-planning-team-lead","Security","strategy-planning","L3","R2"
"security-strategy-planning-department-lead","Security","strategy-planning","L4","R3"
"security-strategy-planning-executive-coordinator","Security","strategy-planning","L5","R3"
"security-analysis-research-utility-worker","Security","analysis-research","L0","R1"
"security-analysis-research-specialist","Security","analysis-research","L1","R1"
"security-analysis-research-senior-specialist","Security","analysis-research","L2","R2"
"security-analysis-research-team-lead","Security","analysis-research","L3","R2"
"security-analysis-research-department-lead","Security","analysis-research","L4","R3"
"security-analysis-research-executive-coordinator","Security","analysis-research","L5","R3"
"security-implementation-delivery-utility-worker","Security","implementation-delivery","L0","R1"
"security-implementation-delivery-specialist","Security","implementation-delivery","L1","R1"
"security-implementation-delivery-senior-specialist","Security","implementation-delivery","L2","R2"
"security-implementation-delivery-team-lead","Security","implementation-delivery","L3","R2"
"security-implementation-delivery-department-lead","Security","implementation-delivery","L4","R3"
"security-implementation-delivery-executive-coordinator","Security","implementation-delivery","L5","R3"
"security-operations-reliability-utility-worker","Security","operations-reliability","L0","R1"
"security-operations-reliability-specialist","Security","operations-reliability","L1","R1"
"security-operations-reliability-senior-specialist","Security","operations-reliability","L2","R2"
"security-operations-reliability-team-lead","Security","operations-reliability","L3","R2"
"security-operations-reliability-department-lead","Security","operations-reliability","L4","R3"
"security-operations-reliability-executive-coordinator","Security","operations-reliability","L5","R3"
"security-verification-governance-utility-worker","Security","verification-governance","L0","R1"
"security-verification-governance-specialist","Security","verification-governance","L1","R1"
"security-verification-governance-senior-specialist","Security","verification-governance","L2","R2"
"security-verification-governance-team-lead","Security","verification-governance","L3","R2"
"security-verification-governance-department-lead","Security","verification-governance","L4","R3"
"security-verification-governance-executive-coordinator","Security","verification-governance","L5","R3"
"security-knowledge-coordination-utility-worker","Security","knowledge-coordination","L0","R1"
"security-knowledge-coordination-specialist","Security","knowledge-coordination","L1","R1"
"security-knowledge-coordination-senior-specialist","Security","knowledge-coordination","L2","R2"
"security-knowledge-coordination-team-lead","Security","knowledge-coordination","L3","R2"
"security-knowledge-coordination-department-lead","Security","knowledge-coordination","L4","R3"
"security-knowledge-coordination-executive-coordinator","Security","knowledge-coordination","L5","R3"
"it-and-internal-systems-strategy-planning-utility-worker","IT & Internal Systems","strategy-planning","L0","R1"
"it-and-internal-systems-strategy-planning-specialist","IT & Internal Systems","strategy-planning","L1","R1"
"it-and-internal-systems-strategy-planning-senior-specialist","IT & Internal Systems","strategy-planning","L2","R2"
"it-and-internal-systems-strategy-planning-team-lead","IT & Internal Systems","strategy-planning","L3","R2"
